,model,subcomponent,errors
01/10/2020,SARIMAX,DOAA,-0.4115456
01/11/2020,SARIMAX,DOAA,1.47136352
01/12/2020,SARIMAX,DOAA,5.873372369
01/01/2021,SARIMAX,DOAA,5.773280534
01/02/2021,SARIMAX,DOAA,4.38071885
01/03/2021,SARIMAX,DOAA,5.399799039
01/04/2021,SARIMAX,DOAA,5.159370105
01/05/2021,SARIMAX,DOAA,6.196044876
01/06/2021,SARIMAX,DOAA,1.664034293
01/07/2021,SARIMAX,DOAA,1.875970296
01/08/2021,SARIMAX,DOAA,2.636750404
01/09/2021,SARIMAX,DOAA,0.793232022
01/10/2021,SARIMAX,DOAA,-0.359232094
01/11/2021,SARIMAX,DOAA,1.284513666
01/12/2021,SARIMAX,DOAA,-1.063655429
01/01/2022,SARIMAX,DOAA,-2.062974617
01/02/2022,SARIMAX,DOAA,-1.30759465
01/03/2022,SARIMAX,DOAA,-4.648105758
01/04/2022,SARIMAX,DOAA,-6.618155032
01/05/2022,SARIMAX,DOAA,-11.79926359
01/06/2022,SARIMAX,DOAA,-18.46563644
01/07/2022,SARIMAX,DOAA,-22.05872334
01/08/2022,SARIMAX,DOAA,-24.08004372
01/09/2022,SARIMAX,DOAA,-28.75289726
01/10/2020,SARIMAX,DOAB,4.404718592
01/11/2020,SARIMAX,DOAB,1.630087557
01/12/2020,SARIMAX,DOAB,4.627573012
01/01/2021,SARIMAX,DOAB,3.656555802
01/02/2021,SARIMAX,DOAB,5.55348836
01/03/2021,SARIMAX,DOAB,9.502192792
01/04/2021,SARIMAX,DOAB,9.792032681
01/05/2021,SARIMAX,DOAB,9.999321086
01/06/2021,SARIMAX,DOAB,12.15443045
01/07/2021,SARIMAX,DOAB,11.86446851
01/08/2021,SARIMAX,DOAB,11.0823967
01/09/2021,SARIMAX,DOAB,8.508243191
01/10/2021,SARIMAX,DOAB,9.267251944
01/11/2021,SARIMAX,DOAB,4.986982057
01/12/2021,SARIMAX,DOAB,6.79315688
01/01/2022,SARIMAX,DOAB,3.126188525
01/02/2022,SARIMAX,DOAB,0.114691753
01/03/2022,SARIMAX,DOAB,5.259522486
01/04/2022,SARIMAX,DOAB,5.590863736
01/05/2022,SARIMAX,DOAB,-2.08677188
01/06/2022,SARIMAX,DOAB,2.56254562
01/07/2022,SARIMAX,DOAB,-2.486299829
01/08/2022,SARIMAX,DOAB,-3.01248717
01/09/2022,SARIMAX,DOAB,-9.087412911
01/10/2020,SARIMAX,DOAC,-12.05071278
01/11/2020,SARIMAX,DOAC,-5.342940369
01/12/2020,SARIMAX,DOAC,-7.612484728
01/01/2021,SARIMAX,DOAC,-14.6242622
01/02/2021,SARIMAX,DOAC,-15.28504528
01/03/2021,SARIMAX,DOAC,-2.116025901
01/04/2021,SARIMAX,DOAC,-5.984578417
01/05/2021,SARIMAX,DOAC,-0.457904285
01/06/2021,SARIMAX,DOAC,-16.89863446
01/07/2021,SARIMAX,DOAC,-9.003710491
01/08/2021,SARIMAX,DOAC,-13.8756168
01/09/2021,SARIMAX,DOAC,-12.38907436
01/10/2021,SARIMAX,DOAC,-10.05303898
01/11/2021,SARIMAX,DOAC,-13.23661028
01/12/2021,SARIMAX,DOAC,-22.91935153
01/01/2022,SARIMAX,DOAC,-22.56158378
01/02/2022,SARIMAX,DOAC,-28.9442082
01/03/2022,SARIMAX,DOAC,-15.90751622
01/04/2022,SARIMAX,DOAC,-34.94848017
01/05/2022,SARIMAX,DOAC,-32.35574411
01/06/2022,SARIMAX,DOAC,-51.61241767
01/07/2022,SARIMAX,DOAC,-49.83091859
01/08/2022,SARIMAX,DOAC,-50.70305201
01/09/2022,SARIMAX,DOAC,-63.57120118
01/10/2020,SARIMAX,DOAD,-2.060901952
01/11/2020,SARIMAX,DOAD,4.906875695
01/12/2020,SARIMAX,DOAD,9.586311261
01/01/2021,SARIMAX,DOAD,7.872849618
01/02/2021,SARIMAX,DOAD,8.090298169
01/03/2021,SARIMAX,DOAD,6.950750897
01/04/2021,SARIMAX,DOAD,6.89160113
01/05/2021,SARIMAX,DOAD,4.53663693
01/06/2021,SARIMAX,DOAD,6.585940474
01/07/2021,SARIMAX,DOAD,3.012501136
01/08/2021,SARIMAX,DOAD,2.199520236
01/09/2021,SARIMAX,DOAD,-2.467631073
01/10/2021,SARIMAX,DOAD,-5.20943095
01/11/2021,SARIMAX,DOAD,-5.916826237
01/12/2021,SARIMAX,DOAD,-4.557637512
01/01/2022,SARIMAX,DOAD,-4.616086323
01/02/2022,SARIMAX,DOAD,-8.103635474
01/03/2022,SARIMAX,DOAD,-9.492509465
01/04/2022,SARIMAX,DOAD,-12.40365543
01/05/2022,SARIMAX,DOAD,-16.47290973
01/06/2022,SARIMAX,DOAD,-13.05059913
01/07/2022,SARIMAX,DOAD,-19.350773
01/08/2022,SARIMAX,DOAD,-23.02630094
01/09/2022,SARIMAX,DOAD,-28.47624724
01/10/2020,SARIMAX,DOAE,-0.550862201
01/11/2020,SARIMAX,DOAE,4.599140048
01/12/2020,SARIMAX,DOAE,-15.04875867
01/01/2021,SARIMAX,DOAE,-3.961234989
01/02/2021,SARIMAX,DOAE,-8.451909762
01/03/2021,SARIMAX,DOAE,1.507614122
01/04/2021,SARIMAX,DOAE,-12.64352487
01/05/2021,SARIMAX,DOAE,-13.48412335
01/06/2021,SARIMAX,DOAE,-19.10807536
01/07/2021,SARIMAX,DOAE,-18.12376478
01/08/2021,SARIMAX,DOAE,-19.30819661
01/09/2021,SARIMAX,DOAE,-14.21023195
01/10/2021,SARIMAX,DOAE,-27.62477994
01/11/2021,SARIMAX,DOAE,-20.75549713
01/12/2021,SARIMAX,DOAE,-43.78194182
01/01/2022,SARIMAX,DOAE,-47.5241582
01/02/2022,SARIMAX,DOAE,-54.95649463
01/03/2022,SARIMAX,DOAE,-54.44974034
01/04/2022,SARIMAX,DOAE,-64.8456381
01/05/2022,SARIMAX,DOAE,-60.06493872
01/06/2022,SARIMAX,DOAE,-71.38858172
01/07/2022,SARIMAX,DOAE,-79.52742307
01/08/2022,SARIMAX,DOAE,-86.01463602
01/09/2022,SARIMAX,DOAE,-77.45432286
01/10/2020,SARIMAX,DOAF,3.199625129
01/11/2020,SARIMAX,DOAF,-0.010529599
01/12/2020,SARIMAX,DOAF,-28.42083202
01/01/2021,SARIMAX,DOAF,-0.568457226
01/02/2021,SARIMAX,DOAF,-7.719182483
01/03/2021,SARIMAX,DOAF,1.998601635
01/04/2021,SARIMAX,DOAF,-10.47323322
01/05/2021,SARIMAX,DOAF,-11.35971964
01/06/2021,SARIMAX,DOAF,-16.46584455
01/07/2021,SARIMAX,DOAF,-14.09793293
01/08/2021,SARIMAX,DOAF,-12.46638147
01/09/2021,SARIMAX,DOAF,-6.938483246
01/10/2021,SARIMAX,DOAF,-21.87564319
01/11/2021,SARIMAX,DOAF,-24.27135429
01/12/2021,SARIMAX,DOAF,-57.15787322
01/01/2022,SARIMAX,DOAF,-40.19582851
01/02/2022,SARIMAX,DOAF,-48.95603429
01/03/2022,SARIMAX,DOAF,-47.31202123
01/04/2022,SARIMAX,DOAF,-55.27697141
01/05/2022,SARIMAX,DOAF,-48.66607436
01/06/2022,SARIMAX,DOAF,-60.23887219
01/07/2022,SARIMAX,DOAF,-69.17246455
01/08/2022,SARIMAX,DOAF,-76.00711649
01/09/2022,SARIMAX,DOAF,-68.2428515
01/10/2020,SARIMAX,DOAG,4.740474117
01/11/2020,SARIMAX,DOAG,7.614653746
01/12/2020,SARIMAX,DOAG,5.36204486
01/01/2021,SARIMAX,DOAG,5.570848014
01/02/2021,SARIMAX,DOAG,4.149155366
01/03/2021,SARIMAX,DOAG,4.868982883
01/04/2021,SARIMAX,DOAG,6.64843936
01/05/2021,SARIMAX,DOAG,9.975051835
01/06/2021,SARIMAX,DOAG,8.233512842
01/07/2021,SARIMAX,DOAG,7.224727559
01/08/2021,SARIMAX,DOAG,14.9513892
01/09/2021,SARIMAX,DOAG,1.249870062
01/10/2021,SARIMAX,DOAG,1.097568099
01/11/2021,SARIMAX,DOAG,5.026967333
01/12/2021,SARIMAX,DOAG,5.024601775
01/01/2022,SARIMAX,DOAG,4.847046772
01/02/2022,SARIMAX,DOAG,10.85540712
01/03/2022,SARIMAX,DOAG,4.262098505
01/04/2022,SARIMAX,DOAG,6.387071951
01/05/2022,SARIMAX,DOAG,2.236624915
01/06/2022,SARIMAX,DOAG,-3.0867551
01/07/2022,SARIMAX,DOAG,-13.06268828
01/08/2022,SARIMAX,DOAG,-17.13814938
01/09/2022,SARIMAX,DOAG,-24.3104776
01/10/2020,SARIMAX,DOAH,2.99059062
01/11/2020,SARIMAX,DOAH,3.072774928
01/12/2020,SARIMAX,DOAH,7.296922084
01/01/2021,SARIMAX,DOAH,9.428133882
01/02/2021,SARIMAX,DOAH,9.810625502
01/03/2021,SARIMAX,DOAH,10.4492626
01/04/2021,SARIMAX,DOAH,8.174618533
01/05/2021,SARIMAX,DOAH,11.09239912
01/06/2021,SARIMAX,DOAH,10.04470368
01/07/2021,SARIMAX,DOAH,12.13372695
01/08/2021,SARIMAX,DOAH,10.35305968
01/09/2021,SARIMAX,DOAH,11.77686016
01/10/2021,SARIMAX,DOAH,10.08706793
01/11/2021,SARIMAX,DOAH,10.92111901
01/12/2021,SARIMAX,DOAH,10.63119055
01/01/2022,SARIMAX,DOAH,12.69749513
01/02/2022,SARIMAX,DOAH,11.23384547
01/03/2022,SARIMAX,DOAH,11.25336994
01/04/2022,SARIMAX,DOAH,8.655510736
