Date,Price
2013-01,93.12
2013-02,97.77
2013-03,90.68
2013-04,97.07
2013-05,91.03
2013-06,93.45
2013-07,97.99
2013-08,107.89
2013-09,106.75
2013-10,102.04
2013-11,94.61
2013-12,93.82
2014-01,98.7
2014-02,96.43
2014-03,104.92
2014-04,99.74
2014-05,99.42
2014-06,102.47
2014-07,105.34
2014-08,97.88
2014-09,95.83
2014-10,90.73
2014-11,78.78
2014-12,69.0
2015-01,54.56
2015-02,49.57
2015-03,49.59
2015-04,50.09
2015-05,59.15
2015-06,60.2
2015-07,56.96
2015-08,45.17
2015-09,45.41
2015-10,44.74
2015-11,46.14
2015-12,41.85
2016-01,36.76
2016-02,31.62
2016-03,34.4
2016-04,36.79
2016-05,44.78
2016-06,49.01
2016-07,48.99
2016-08,40.06
2016-09,43.16
2016-10,48.81
2016-11,46.67
2016-12,51.06
2017-01,54.03
2017-02,53.88
2017-03,53.83
2017-04,50.24
2017-05,48.84
2017-06,48.36
2017-07,47.07
2017-08,49.16
2017-09,47.29
2017-10,50.58
2017-11,54.3
2017-12,58.36
2018-01,60.24
2018-02,65.8
2018-03,60.99
2018-04,63.01
2018-05,67.25
2018-06,65.81
2018-07,73.94
2018-08,67.66
2018-09,69.92
2018-10,75.3
2018-11,63.69
2018-12,52.95
2019-01,45.89
2019-02,55.26
2019-03,55.8
2019-04,61.59
2019-05,63.6
2019-06,53.25
2019-07,59.09
2019-08,53.95
2019-09,54.8
2019-10,53.62
2019-11,56.2
2019-12,55.96
2020-01,61.33
2020-02,50.11
2020-03,46.75
2020-04,20.31
2020-05,19.78
2020-06,35.44
2020-07,39.82
2020-08,41.01
2020-09,42.76
2020-10,38.72
2020-11,36.81
2020-12,44.55
2021-01,47.62
2021-02,53.55
2021-03,60.64
2021-04,61.45
2021-05,64.49
2021-06,67.72
2021-07,75.23
2021-08,71.26
2021-09,68.59
2021-10,75.88
2021-11,84.05
2021-12,65.57
2022-01,76.08
2022-02,88.2
2022-03,103.41
2022-04,99.27
2022-05,105.17
2022-06,115.26
2022-07,108.43
2022-08,93.89
2022-09,86.61
2022-10,82.06
