Date,Price
2013-01,2.7951
2013-02,3.0536
2013-03,3.1286
2013-04,3.1015
2013-05,2.7193
2013-06,2.7851
2013-07,2.7379
2013-08,3.0284
2013-09,2.8646
2013-10,2.6106
2013-11,2.5454
2013-12,2.6784
2014-01,2.695
2014-02,2.6069
2014-03,3.0203
2014-04,2.8697
2014-05,2.9388
2014-06,2.9499
2014-07,3.0366
2014-08,2.7443
2014-09,2.543
2014-10,2.4497
2014-11,2.1176
2014-12,1.881
2015-01,1.4334
2015-02,1.5446
2015-03,1.8973
2015-04,1.8312
2015-05,2.0453
2015-06,2.0422
2015-07,2.0068
2015-08,1.7645
2015-09,1.3956
2015-10,1.3668
2015-11,1.3664
2015-12,1.363
2016-01,1.2912
2016-02,1.083
2016-03,1.3035
2016-04,1.4016
2016-05,1.5997
2016-06,1.6153
2016-07,1.5135
2016-08,1.3036
2016-09,1.2724
2016-10,1.4543
2016-11,1.4841
2016-12,1.547
2017-01,1.6782
2017-02,1.5791
2017-03,1.678
2017-04,1.6999
2017-05,1.5272
2017-06,1.6014
2017-07,1.5109
2017-08,1.6613
2017-09,1.7479
2017-10,1.5901
2017-11,1.741
2017-12,1.7416
2018-01,1.7969
2018-02,1.8958
2018-03,1.8964
2018-04,2.0277
2018-05,2.0876
2018-06,2.1434
2018-07,2.1365
2018-08,2.0451
2018-09,1.9997
2018-10,2.1275
2018-11,1.7165
2018-12,1.436
2019-01,1.3125
2019-02,1.5698
2019-03,1.5938
2019-04,1.652
2019-05,1.6804
2019-06,1.7525
2019-07,1.5955
2019-08,1.4507
2019-09,1.5215
2019-10,1.4159
2019-11,1.4538
2019-12,1.609
2020-01,1.6995
2020-02,1.4815
2020-03,1.4617
2020-04,0.9539
2020-05,0.9517
2020-06,1.1391
2020-07,1.1644
2020-08,1.17
2020-09,1.2997
2020-10,1.2235
2020-11,0.9785
2020-12,1.2851
2021-01,1.409
2021-02,1.4489
2021-03,1.5874
2021-04,1.6974
2021-05,2.0836
2021-06,1.8739
2021-07,1.9402
2021-08,2.327
2021-09,1.9157
2021-10,2.0734
2021-11,2.1446
2021-12,1.8569
2022-01,2.2377
2022-02,2.32
2022-03,2.5773
2022-04,2.7412
2022-05,3.4317
2022-06,3.3854
2022-07,3.2124
2022-08,2.743
2022-09,2.3853
2022-10,2.4338
