date, Petrol and oil
01/01/1987,100
01/02/1987,102
01/03/1987,101.8
01/04/1987,101.3
01/05/1987,101.1
01/06/1987,100.7
01/07/1987,101.1
01/08/1987,101.1
01/09/1987,101
01/10/1987,100.4
01/11/1987,100.2
01/12/1987,99.7
01/01/1988,98.9
01/02/1988,98
01/03/1988,98
01/04/1988,99.9
01/05/1988,99.7
01/06/1988,100.7
01/07/1988,100.9
01/08/1988,100.8
01/09/1988,100.5
01/10/1988,100.3
01/11/1988,100
01/12/1988,99.8
01/01/1989,99.7
01/02/1989,101.6
01/03/1989,102.6
01/04/1989,108.7
01/05/1989,111.2
01/06/1989,111.5
01/07/1989,110
01/08/1989,106.9
01/09/1989,107.6
01/10/1989,108.3
01/11/1989,107.9
01/12/1989,107
01/01/1990,109
01/02/1990,108.8
01/03/1990,108.7
01/04/1990,116.5
01/05/1990,116.3
01/06/1990,115.7
01/07/1990,114.8
01/08/1990,123.5
01/09/1990,133.7
01/10/1990,136.4
01/11/1990,128.8
01/12/1990,121.8
01/01/1991,120.1
01/02/1991,116.4
01/03/1991,117.4
01/04/1991,129.9
01/05/1991,133.1
01/06/1991,132.2
01/07/1991,133.7
01/08/1991,133.1
01/09/1991,131
01/10/1991,132.2
01/11/1991,131.6
01/12/1991,129.9
01/01/1992,124.6
01/02/1992,126
01/03/1992,128
01/04/1992,132.4
01/05/1992,134.1
01/06/1992,133.8
01/07/1992,133.6
01/08/1992,131.8
01/09/1992,130.7
01/10/1992,134.4
01/11/1992,137.1
01/12/1992,138.4
01/01/1993,134.6
01/02/1993,137.1
01/03/1993,138.5
01/04/1993,144.7
01/05/1993,144.4
01/06/1993,146.2
01/07/1993,144.5
01/08/1993,143.5
01/09/1993,144.2
01/10/1993,142.8
01/11/1993,142.2
01/12/1993,148
01/01/1994,147.2
01/02/1994,146.9
01/03/1994,146.2
01/04/1994,147.4
01/05/1994,148.3
01/06/1994,149.4
01/07/1994,148.8
01/08/1994,152.7
01/09/1994,151.8
01/10/1994,149.6
01/11/1994,147.7
01/12/1994,153.2
01/01/1995,155.6
01/02/1995,154.2
01/03/1995,155.7
01/04/1995,157.7
01/05/1995,158.3
01/06/1995,158.4
01/07/1995,158.7
01/08/1995,158
01/09/1995,156.1
01/10/1995,153.9
01/11/1995,151.8
01/12/1995,162.8
01/01/1996,164
01/02/1996,159.6
01/03/1996,158.6
01/04/1996,161
01/05/1996,161
01/06/1996,160
01/07/1996,159.4
01/08/1996,162.6
01/09/1996,168.3
01/10/1996,171
01/11/1996,172.6
01/12/1996,178.5
01/01/1997,177.3
01/02/1997,176.6
01/03/1997,175.1
01/04/1997,173.9
01/05/1997,174.5
01/06/1997,175.8
01/07/1997,183
01/08/1997,186.8
01/09/1997,189
01/10/1997,187.5
01/11/1997,187.1
01/12/1997,186.1
01/01/1998,184.9
01/02/1998,183.4
01/03/1998,182.3
01/04/1998,192.8
01/05/1998,193.6
01/06/1998,192.7
01/07/1998,193.8
01/08/1998,193.7
01/09/1998,192.7
01/10/1998,192.2
01/11/1998,190.7
01/12/1998,188
01/01/1999,186.3
01/02/1999,185.5
01/03/1999,196.1
01/04/1999,206.4
01/05/1999,206.3
01/06/1999,205.6
01/07/1999,208.4
01/08/1999,214.1
01/09/1999,213.9
01/10/1999,215.7
01/11/1999,214.7
01/12/1999,220.3
01/01/2000,219.8
01/02/2000,219.7
01/03/2000,227.7
01/04/2000,232.5
01/05/2000,231.4
01/06/2000,242.6
01/07/2000,244.5
01/08/2000,234.3
01/09/2000,239
01/10/2000,233
01/11/2000,238.9
01/12/2000,235
01/01/2001,225.3
01/02/2001,226.1
01/03/2001,219.4
01/04/2001,221.4
01/05/2001,227.7
01/06/2001,229.7
01/07/2001,226.5
01/08/2001,224.1
01/09/2001,223
01/10/2001,219.4
01/11/2001,208.2
01/12/2001,204.7
01/01/2002,206.2
01/02/2002,206.6
01/03/2002,208.8
01/04/2002,219.3
01/05/2002,218.4
01/06/2002,216.1
01/07/2002,214.9
01/08/2002,214.9
01/09/2002,217.2
01/10/2002,217.3
01/11/2002,216.7
01/12/2002,215.3
01/01/2003,219.7
01/02/2003,222.4
01/03/2003,230.3
01/04/2003,228.7
01/05/2003,220.2
01/06/2003,217.7
01/07/2003,218.2
01/08/2003,220.6
01/09/2003,222.2
01/10/2003,221.1
01/11/2003,221.5
01/12/2003,221.7
01/01/2004,222.9
01/02/2004,223.2
01/03/2004,225.5
01/04/2004,227.5
01/05/2004,238.2
01/06/2004,237.5
01/07/2004,234.8
01/08/2004,236.7
01/09/2004,237.4
01/10/2004,242.8
01/11/2004,246
01/12/2004,240.8
01/01/2005,232.5
01/02/2005,235.7
01/03/2005,240.7
01/04/2005,251
01/05/2005,249.7
01/06/2005,249.7
01/07/2005,257.9
01/08/2005,266.1
01/09/2005,279
01/10/2005,275.2
01/11/2005,265.5
01/12/2005,256.9
01/01/2006,261.5
01/02/2006,263.1
01/03/2006,262.9
01/04/2006,273.1
01/05/2006,282.1
01/06/2006,279.6
01/07/2006,284.7
01/08/2006,286.2
01/09/2006,268.6
01/10/2006,254.4
01/11/2006,253.2
01/12/2006,259
01/01/2007,256.2
01/02/2007,253.1
01/03/2007,259.8
01/04/2007,269.5
01/05/2007,277.7
01/06/2007,281.7
01/07/2007,280.6
01/08/2007,280
01/09/2007,276.7
01/10/2007,284.2
01/11/2007,295.1
01/12/2007,301.4
01/01/2008,304.8
01/02/2008,304.5
01/03/2008,313.2
01/04/2008,317.9
01/05/2008,328.7
01/06/2008,349.4
01/07/2008,354.7
01/08/2008,338.2
01/09/2008,333.9
01/10/2008,318.7
01/11/2008,284.2
01/12/2008,266.7
01/01/2009,258
01/02/2009,268.9
01/03/2009,268.5
01/04/2009,280.4
01/05/2009,287.6
01/06/2009,298.5
01/07/2009,300
01/08/2009,300.4
01/09/2009,310.3
01/10/2009,305.6
01/11/2009,316.7
01/12/2009,316.7
01/01/2010,323.5
01/02/2010,326.8
01/03/2010,336.4
01/04/2010,351.4
01/05/2010,353.8
01/06/2010,344.6
01/07/2010,343.2
01/08/2010,340.4
01/09/2010,335.5
01/10/2010,341.9
01/11/2010,348.2
01/12/2010,356.7
01/01/2011,373.3
01/02/2011,377.7
01/03/2011,388.4
01/04/2011,393.1
01/05/2011,400
01/06/2011,397.6
01/07/2011,393.1
01/08/2011,398.3
01/09/2011,395.7
01/10/2011,394.6
01/11/2011,393.5
01/12/2011,391.2
01/01/2012,391.6
01/02/2012,397.8
01/03/2012,405.9
01/04/2012,417.2
01/05/2012,406.3
01/06/2012,387.8
01/07/2012,386.2
01/08/2012,394.1
01/09/2012,407
01/10/2012,405.2
01/11/2012,397.5
01/12/2012,391.3
01/01/2013,389.4
01/02/2013,399.4
01/03/2013,411.6
01/04/2013,401.6
01/05/2013,390.6
01/06/2013,393.9
01/07/2013,392.3
01/08/2013,401.8
01/09/2013,403.4
01/10/2013,388
01/11/2013,382.7
01/12/2013,385.9
01/01/2014,385
01/02/2014,381.2
01/03/2014,380
01/04/2014,380
01/05/2014,381.5
01/06/2014,381.7
01/07/2014,384.6
01/08/2014,379.2
01/09/2014,376.3
01/10/2014,370.9
01/11/2014,360.8
01/12/2014,352.1
01/01/2015,322.8
01/02/2015,318.3
01/03/2015,328.9
01/04/2015,332.7
01/05/2015,339.1
01/06/2015,342.1
01/07/2015,340.1
01/08/2015,334.2
01/09/2015,320.7
01/10/2015,318.2
01/11/2015,314
01/12/2015,306
01/01/2016,297.6
01/02/2016,294.6
01/03/2016,296.4
01/04/2016,306.8
01/05/2016,315.1
01/06/2016,323.4
01/07/2016,326.1
01/08/2016,319.2
01/09/2016,325.4
01/10/2016,328.3
01/11/2016,340.6
01/12/2016,334.9
01/01/2017,345.8
01/02/2017,351.7
01/03/2017,350.7
01/04/2017,342.6
01/05/2017,337.7
01/06/2017,337.9
01/07/2017,331.5
01/08/2017,337.3
01/09/2017,344.8
01/10/2017,343.6
01/11/2017,349
01/12/2017,351.9
01/01/2018,353.4
01/02/2018,356.4
01/03/2018,349.8
01/04/2018,353.7
01/05/2018,364.8
01/06/2018,377.2
01/07/2018,373.1
01/08/2018,376.7
01/09/2018,382
01/10/2018,384
